Gender,GivenName,Surname,City,StreetAddress,ZipCode,Username,Password,Age,Birthday,Occupation,Salary
male,Jaromir,Walczak,Łódź,ul. Płytka 130,93-371,Apereens,AiGeis1Th,71,12/9/1945,Glass repairer,77652
male,Ignacy,Nowakowski,Bydgoszcz,ul. Lipowa 137,85-062,Deve1957,yuuX4Dee4,60,1/28/1957,Web developer,29757
male,Gustaw,Kamiński,Częstochowa,ul. Diamentowa 33,42-280,Youbtlears1937,shehie0V,80,8/6/1937,Clerk typist,34949
male,Gabryŝ,Sobczak,Bielsko-Biała,ul. Pocztowa 39,43-309,Beatems,yiuXoo1Ohch,54,1/31/1963,Chief information officer,85703
male,Friderich,Woźniak,Łowicz,ul. 3 Maja 6,99-400,Lapet1987,Hohweiv1ch,30,8/7/1987,Practical nurses,10294
male,Mieszko,Kozłowski,Warszawa,ul. Filipinki 141,02-207,Poved1982,Aixol8qu,35,4/23/1982,Social science research assistant,18777
male,Kacper,Kwiatkowski,Łódź,ul. Juranda ze Spychowa 150,92-436,Therling,Aighae6woos,74,3/15/1943,Portrait photographer,51817
male,Borys,Kaczmarek,Częstochowa,ul. Ciechanowska 67,42-221,Hancrinum1949,muqu2Athi8jei,68,5/8/1949,Computer technology trainer,45225
male,Aleksy,Kwiatkowski,Gliwice,ul. Chatka Puchatka 140,44-109,Neand1938,Ni8jae3vaik,78,11/21/1938,Circulation assistant,36968
male,Aleksy,Kaczmarek,Łódź,ul. Radłowa 39,91-335,Mosely78,Luof1choodoo,39,1/12/1978,Transplant nurse,95096
male,Jaropełk,Dudek,Łódź,ul. Rajdowa 119,94-003,Worence,aiKei0iezee,45,2/7/1972,Refractory materials repairer,70143
male,Szczęsny,Czerwinski,Warszawa/Wesoła,ul. Krasickiego Ignacego 1,05-075,Lagnity,oogau1ieTh,66,5/12/1951,Magistrate,65351
male,Witołd,Nowak ,Warszawa,ul. Celna 39,00-262,Youdger,IeL4waaw5vie,71,12/23/1945,Maintenance machinist,89200
male,Friderich,Chmielewski,Wrocław,ul. Wybrzeże Conrada Korzeniowskiego 141,50-226,Abselithat,aeQueu1Lei,78,11/8/1938,Aircraft electronics specialist,47382
